ID,SeparationType,Cease Date,DETE Start Date,Role Start Date,Position,Classification,Region,Business Unit,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Professional Development,Opportunities for promotion,Staff morale,Workplace issue,Physical environment,Worklife balance,Stress and pressure support,Performance of supervisor,Peer support,Initiative,Skills,Coach,Career Aspirations,Feedback,Further PD,Communication,My say,Information,Kept informed,Wellness programs,Health & Safety,Gender,Age,Aboriginal,Torres Strait,South Sea,Disability,NESB,dissatisfied
186,Resignation-Other reasons,2012,2005,2005,Cleaner,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,N,1,1,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Female,31-35,,,,,,1
187,Other,2012,1992,2007,Public Servant,AO5-AO7,Central Office,Training and Tertiary Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,N,N,N,A,A,A,A,SA,D,A,D,A,A,A,A,N,D,Female,61 or older,,,,,,1
188,Voluntary Early Retirement (VER),2012,2007,2009,Public Servant,AO5-AO7,Central Office,Training and Tertiary Education Queensland,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,1,1,A,SA,A,A,A,SA,SA,SA,D,A,D,SD,SD,A,SD,N,N,Female,26-30,,,,,,1
189,Other,2012,2006,2009,Public Servant,AO5-AO7,Central Office,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,1,1,A,SA,SA,N,SA,D,D,N,D,D,D,D,D,N,SD,A,N,Female,26-30,,,,,,1
190,Resignation-Other employer,2012,2006,2007,Public Servant,AO8 and Above,Central Office,Other,Permanent Full-time,False,False,False,0,0,0,0,True,True,0,False,False,False,False,False,0,0,False,SA,0,0,0,SA,N,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,41-45,Yes,,,,,0
191,Voluntary Early Retirement (VER),2012,1971,2004,Public Servant,AO5-AO7,Central Office,Other,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SD,0,1,1,A,A,N,SD,N,N,D,A,SD,D,SD,N,N,N,N,N,N,Female,56-60,,,,,,1
192,Other,2012,1995,2009,Public Servant,A01-A04,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,D,0,1,1,A,N,A,SA,SA,SA,SA,A,N,A,N,D,D,D,SD,N,N,Female,56-60,,,,,,1
193,Resignation-Other reasons,2012,1995,2001,Teacher Aide,,Far North Queensland,,Permanent Full-time,False,False,True,0,0,0,0,False,False,0,False,False,False,False,True,0,0,False,SA,0,0,0,N,A,SD,SD,A,SA,SA,SA,SD,SD,SD,N,D,A,D,SD,N,Female,46-50,,,,,,0
194,Voluntary Early Retirement (VER),2012,2001,2012,Public Servant,AO8 and Above,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,SA,SA,A,N,N,A,A,A,SD,SD,SD,A,A,A,A,A,A,Male,31-35,,,,,,1
195,Age Retirement,2013,1963,1984,Teacher,Primary,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,D,1,1,1,D,D,D,A,SA,A,A,SA,D,A,N,A,A,A,A,D,A,Female,61 or older,,,,,,1
196,Resignation-Other employer,2012,1989,2010,Technical Officer,,North Coast,,Permanent Full-time,True,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,,A,SA,SA,SA,SA,SA,SA,SA,SA,Female,46-50,,,,,,0
197,Resignation-Other reasons,2012,Not Stated,Not Stated,Teacher Aide,,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,1,1,A,A,A,A,A,N,M,SD,A,A,A,A,A,A,A,N,N,Female,46-50,,,,,,1
198,Resignation-Other employer,2012,2005,2005,Public Servant,A01-A04,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,1,1,A,A,N,D,N,D,SD,A,D,N,D,D,D,N,D,N,D,Female,31-35,,,,,,1
199,Ill Health Retirement,2012,1984,1995,Teacher,Primary,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,A,D,D,A,SA,SA,SA,A,D,A,N,A,A,A,A,D,A,Female,46-50,,,,,,1
200,Age Retirement,2012,2003,2006,Cleaner,,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,M,0,0,0,M,SA,M,M,M,M,M,M,M,M,M,SA,M,M,M,M,M,Female,61 or older,,,,,,0
201,Voluntary Early Retirement (VER),2012,1993,2010,Public Servant,AO8 and Above,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,51-55,,,,,,0
202,Voluntary Early Retirement (VER),2012,1991,Not Stated,Teacher Aide,,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,1,1,1,A,A,A,A,A,A,A,A,N,A,SA,A,SA,A,A,SA,SA,Female,56-60,,,,,,1
203,Ill Health Retirement,2012,Not Stated,2003,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,True,0,0,False,N,0,1,0,D,SD,SD,SD,A,SA,SA,A,SD,N,D,SD,N,D,SD,SD,SD,Female,46-50,,,,,,1
204,Other,2012,1974,1995,Other,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,True,0,0,False,A,0,1,0,SD,N,N,D,N,N,N,D,D,D,D,N,D,N,SD,,SD,Female,61 or older,,,,,,1
205,Resignation-Other employer,2012,2008,2010,Public Servant,A01-A04,Central Office,Finance,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,N,N,Female,21-25,,,,,,1
206,Resignation-Other reasons,2012,2006,2006,Teacher Aide,,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,D,A,A,A,A,A,A,D,D,D,A,N,A,N,D,A,Female,36-40,,,,,,1
207,Termination,2012,1970,2005,Public Servant,AO5-AO7,Central Office,Information and Technologies,Permanent Full-time,False,False,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,A,0,0,1,A,A,N,D,A,N,SD,A,A,N,D,A,D,D,D,N,A,Male,51-55,,,,,,1
208,Ill Health Retirement,2012,Not Stated,Not Stated,Teacher,Special Education,North Coast,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,1,1,1,D,N,D,D,A,A,A,A,D,A,D,SA,A,A,SA,,A,Female,56-60,,,,,,1
209,Age Retirement,2012,1993,1993,Teacher Aide,,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,61 or older,,,,,,1
210,Ill Health Retirement,2012,1996,2002,Teacher,Primary,Central Office,Early Childhood Education and Care,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,1,1,1,A,A,N,SA,SA,SA,A,N,A,A,N,SA,SA,SA,SA,SA,SA,Female,46-50,,,,,,1
211,Resignation-Move overseas/interstate,2012,2007,2007,Professional Officer,PO1-PO4,North Coast,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,SA,1,1,1,N,A,A,A,A,A,A,A,SA,A,A,A,A,A,A,N,A,Female,51-55,,,,,,1
212,Voluntary Early Retirement (VER),2012,1986,1986,Teacher Aide,,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,D,A,A,A,A,,A,A,A,A,A,A,N,N,Female,61 or older,,,,,,1
213,Resignation-Other reasons,2012,1986,1997,Teacher,Secondary,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,0,0,SA,SA,SA,SA,N,D,D,N,SA,SA,N,SD,A,N,N,A,SA,Male,61 or older,,,,,,0
214,Other,2012,Not Stated,Not Stated,Cleaner,,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,SA,A,A,A,A,A,SA,A,A,A,A,A,,A,Female,56-60,,,,,,1
215,Resignation-Other reasons,2012,1999,2011,School Administrative Staff,,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,1,1,A,A,A,D,A,A,A,N,D,A,D,A,A,A,A,N,N,Female,,,,,,,1
216,Termination,2012,1987,2010,Public Servant,AO8 and Above,Central Office,Training and Tertiary Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,A,0,1,1,SA,A,N,A,A,N,A,A,A,A,A,N,A,A,N,A,A,Male,51-55,,,,,,1
217,Age Retirement,2013,1979,1979,Teacher,Primary,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,D,A,A,A,A,A,SA,A,A,A,A,A,A,A,A,A,Female,51-55,,,,,,1
218,Voluntary Early Retirement (VER),2013,1995,1995,Teacher,Secondary,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,A,N,A,A,A,A,A,A,A,A,Male,56-60,,,,,Yes,1
219,Age Retirement,2012,1999,1999,Teacher,Special Education,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,51-55,,,,,,1
220,Age Retirement,2012,1999,1999,Teacher,Primary,Far North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,1,1,0,N,A,D,SD,A,A,A,A,,SD,,D,N,A,A,D,A,Female,61 or older,,,,,,1
221,Ill Health Retirement,2012,2007,2010,Cleaner,,Central Office,Education Queensland,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,D,A,N,D,A,D,D,D,,,,A,A,A,A,A,A,Female,56-60,,,,,,1
222,Age Retirement,2012,1977,1988,Teacher,Primary,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,N,D,D,D,A,D,D,A,SD,SD,D,A,D,D,D,SD,A,Female,51-55,,,,,,1
223,Contract Expired,2012,2011,2011,Public Servant,AO5-AO7,Central Office,Education Queensland,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,N,A,A,A,A,A,A,A,A,SA,A,A,A,N,N,N,Female,36-40,,,,,,1
224,Resignation-Other reasons,2012,1996,2006,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,True,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,A,1,0,0,A,D,D,SD,D,SD,SD,SD,SD,SD,SD,SD,SD,SD,D,SD,SD,,51-55,,,,,,1
225,Resignation-Other reasons,2012,2009,2009,Teacher,Secondary,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,SD,SD,D,A,A,A,A,D,D,A,A,A,A,A,D,D,Female,36-40,,,,,,1
226,Age Retirement,2012,1997,1997,Cleaner,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,1,1,N,N,N,N,N,N,N,D,N,N,N,N,N,N,N,D,D,Female,56-60,,,,,,1
227,Contract Expired,2012,2010,2011,Public Servant,A01-A04,Central Office,,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,0,1,1,SA,SA,SA,A,SA,A,A,,D,A,D,A,A,A,A,D,D,Female,26-30,,,,,,1
228,Voluntary Early Retirement (VER),2012,1992,2008,Public Servant,AO8 and Above,Central Office,Human Resources,Permanent Full-time,False,False,False,0,0,0,0,False,True,0,False,False,False,False,False,0,0,False,D,1,1,1,N,D,A,N,A,A,N,A,N,N,N,A,A,A,A,D,D,Male,46-50,,,,,,1
229,Resignation-Other reasons,2012,1994,2012,Cleaner,Primary,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,True,True,False,False,False,0,0,False,SA,0,1,1,N,SD,D,SA,D,A,A,A,,A,,SA,A,A,A,A,SA,Male,56-60,,,,,,1
230,Age Retirement,2012,2008,2012,Teacher,Secondary,Darling Downs South West,,Temporary Part-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,N,0,1,1,D,N,A,A,SA,A,D,N,N,N,N,A,A,A,A,A,A,Female,56-60,,,,,,1
231,Voluntary Early Retirement (VER),2012,1995,2012,Public Servant,AO5-AO7,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,SA,A,A,A,SA,SA,SA,A,SA,SA,SA,N,A,A,N,SA,A,Female,61 or older,,,,,,1
232,Voluntary Early Retirement (VER),2012,1970,2002,Public Servant,AO5-AO7,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,True,False,False,0,0,False,A,0,1,1,SA,A,A,N,A,A,A,A,D,D,A,A,A,N,N,N,A,Male,56-60,,,,,,1
233,Other,2012,1979,2005,Public Servant,A01-A04,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,0,0,0,N,N,N,SD,N,N,N,A,SD,SD,SD,N,N,N,N,A,N,Female,36-40,,,,,,0
234,Voluntary Early Retirement (VER),2012,1985,1998,Public Servant,A01-A04,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,SA,SA,A,N,A,SA,SA,A,N,A,N,N,A,SA,SA,A,A,Female,46-50,,,,,,1
235,Age Retirement,2012,2000,2000,Cleaner,,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,,,,,A,A,A,A,,A,Female,61 or older,,,,,,1
236,Resignation-Move overseas/interstate,2012,2009,2009,Technical Officer,,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,True,False,False,0,0,False,SD,0,1,1,D,D,,D,A,SA,SA,,,,SD,A,D,D,N,A,D,Female,21-25,,,,,,1
237,Age Retirement,2012,1979,1979,Teacher,Secondary,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,N,D,N,A,A,A,A,A,N,N,A,A,A,A,A,D,A,Female,51-55,,,,,,1
238,Age Retirement,2012,1994,1998,Cleaner,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,M,A,N,A,D,A,N,SD,SD,N,Male,61 or older,,,,,,1
239,Voluntary Early Retirement (VER),2012,1976,2003,Public Servant,AO5-AO7,North Coast,Human Resources,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,SA,SA,A,A,A,SA,SA,SA,SA,SA,SA,Male,51-55,,,,,,1
240,Age Retirement,2012,1970,1995,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,1,1,1,D,SD,N,A,A,A,A,A,N,N,N,D,D,A,A,D,A,Female,61 or older,,,,,,1
241,Age Retirement,2013,1970,2001,School Principal,,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,N,A,D,A,N,A,SA,N,A,A,A,N,M,A,D,A,Female,61 or older,,,,,,1
242,Ill Health Retirement,2012,1993,1993,Schools Officer,,South East,Pacific Pines SHS,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SD,0,0,0,D,N,D,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,A,Male,56-60,,,,Yes,,0
243,Age Retirement,2013,1980,1995,Public Servant,A01-A04,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,N,A,D,N,N,A,A,N,D,D,N,A,A,A,A,A,A,Male,51-55,,,,,,1
244,Age Retirement,2012,1981,1981,Teacher Aide,,Central Queensland,Calliope State School,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,M,M,M,A,A,A,A,A,A,M,Female,61 or older,,,,,,1
245,Voluntary Early Retirement (VER),2012,1967,Not Stated,Public Servant,AO5-AO7,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,0,1,1,A,A,A,A,A,A,SD,A,A,A,N,A,A,A,A,A,A,Female,61 or older,,,,,,1
246,Voluntary Early Retirement (VER),2012,1990,1992,Public Servant,A01-A04,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,A,N,N,A,N,A,N,N,A,A,Female,61 or older,,,,,,1
247,Voluntary Early Retirement (VER),2012,1975,1988,Public Servant,A01-A04,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,0,1,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,N,Female,51-55,,,,,Yes,1
248,Resignation-Move overseas/interstate,2013,2007,2007,"School Based Professional Staff (Therapist, nurse, etc)",PO1-PO4,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,True,False,False,0,0,False,A,0,1,1,A,N,A,A,A,A,A,A,A,A,A,A,A,A,A,A,N,Female,26-30,,,,,,1
249,Resignation-Move overseas/interstate,2012,2011,2011,Teacher,Primary,Far North Queensland,,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,0,1,0,SA,N,SA,SA,A,SA,SA,SA,SA,SA,SA,N,SA,A,N,A,N,Male,31-35,,,,,,1
250,Contract Expired,2012,2011,2012,Teacher Aide,,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,N,N,N,N,A,A,A,N,A,A,Female,46-50,Yes,,,,,1
251,Resignation-Other reasons,2013,2006,2006,Teacher,Primary,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,True,0,False,False,True,False,False,0,0,False,SA,0,1,1,SA,A,A,SA,SA,SA,SA,SA,A,A,A,A,A,A,A,N,SA,Male,26-30,,,,,,1
252,Age Retirement,2012,1989,2008,Teacher,Primary,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,1,1,1,A,SA,A,SA,A,A,A,N,N,A,A,A,A,A,A,N,SA,Female,61 or older,,,,,Yes,1
253,Age Retirement,2012,2011,2011,Teacher,Secondary,Far North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,N,N,A,A,A,A,N,N,N,N,A,A,A,A,A,A,Male,61 or older,,,,,,1
254,Age Retirement,2012,1996,1996,Cleaner,,North Coast,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,A,N,A,A,A,A,A,N,N,N,N,A,A,A,D,D,Female,51-55,,,,,,1
255,Resignation-Other reasons,2012,2000,2012,Teacher,Secondary,Central Queensland,,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,A,0,1,1,M,D,A,A,A,A,A,A,A,N,A,A,A,A,A,A,A,Female,31-35,,,,,,1
256,Resignation-Other employer,2012,2008,2012,Cleaner,,South East,,Permanent Part-time,False,True,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,N,1,1,1,N,N,N,N,N,N,N,N,SD,SD,SD,SD,SD,SD,SD,A,A,Female,46-50,,,,,,1
257,Resignation-Move overseas/interstate,2012,2005,2005,Teacher Aide,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,True,0,False,False,False,False,False,0,0,False,SA,0,1,1,A,SA,SA,SA,SA,SA,SA,SA,A,A,A,N,SA,A,SA,D,D,Female,46-50,,,,,,1
258,Resignation-Other reasons,2012,2012,2012,Public Servant,A01-A04,Darling Downs South West,,Temporary Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,0,0,A,A,A,A,SA,SA,A,,SA,A,A,SA,SA,A,N,N,SA,Female,21-25,,,,,,1
259,Resignation-Other employer,2012,2007,2007,Teacher,Secondary,Central Office,Education Queensland,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,N,N,SD,SD,SA,A,SA,A,D,D,A,A,A,A,A,D,N,Female,26-30,,,,,,1
260,Resignation-Move overseas/interstate,2012,2008,2008,Schools Officer,,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,1,1,A,SA,D,D,D,SA,SA,SD,SD,A,D,A,A,D,D,A,SD,Male,41-45,,,,,,1
261,Age Retirement,2012,1996,1996,Cleaner,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,,0,1,1,A,A,A,A,A,A,A,,,,,A,A,A,A,,A,Female,61 or older,,,,,,1
262,Ill Health Retirement,2012,2011,2011,Schools Officer,,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Male,56-60,,,,,,1
263,Resignation-Move overseas/interstate,2013,2011,2011,Teacher,Secondary,South East,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,0,1,1,A,A,N,A,SA,A,SA,A,SA,A,A,N,N,A,A,D,N,Male,36-40,,,,,,1
264,Resignation-Move overseas/interstate,2013,2009,2012,Teacher,Special Education,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,SA,0,0,0,SA,A,SA,SA,SA,SA,A,SA,A,SA,A,A,A,A,SA,A,A,Female,21-25,,,,,,0
265,Resignation-Other reasons,2012,2011,2011,School Administrative Staff,,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,20 or younger,Yes,,,,,1
266,Age Retirement,2012,2007,2007,Schools Officer,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,A,A,A,A,A,SA,A,N,N,A,N,A,SA,A,A,A,SA,Male,61 or older,,,,,,1
267,Age Retirement,2013,1989,1989,Cleaner,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,M,A,A,A,A,A,A,A,,A,,A,A,A,A,M,A,Female,56-60,,,,,,1
268,Resignation-Other employer,2012,2011,2011,Cleaner,,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,,SA,SA,SA,SA,SA,SA,SA,SA,Female,36-40,,,,,,0
269,Resignation-Move overseas/interstate,2012,2011,2012,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,True,True,True,False,False,0,0,False,A,0,1,1,A,A,SA,A,A,SA,A,A,A,A,A,A,A,A,A,N,SA,Female,31-35,,,,,,1
270,Resignation-Other reasons,2012,2010,2010,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,N,A,A,A,A,N,A,A,A,A,A,A,A,N,N,Female,26-30,,,,,,1
271,Age Retirement,2012,1981,1981,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,0,1,1,A,A,N,N,N,N,A,N,D,D,D,N,N,A,N,A,A,Female,61 or older,,,,,,1
272,Termination,2012,1970,2005,Public Servant,AO8 and Above,Central Office,Training and Tertiary Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,0,0,D,N,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,D,SD,N,D,Male,61 or older,,,,,,0
273,Ill Health Retirement,2012,1972,1978,Head of Curriculum/Head of Special Education,,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,A,A,N,N,A,A,A,A,N,A,A,A,A,A,A,N,A,Male,61 or older,,,,,,1
274,Resignation-Other reasons,2012,1991,2007,Teacher,Primary,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,1,1,A,A,A,A,A,A,,A,A,A,A,A,A,A,A,A,A,Female,56-60,,,,,,1
275,Resignation-Other employer,2013,2011,2011,Public Servant,A01-A04,Not Stated,,Temporary Part-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,1,0,A,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,A,A,A,N,SA,SA,Female,36-40,,,,,,1
276,Other,2012,2001,2005,Public Servant,AO5-AO7,Central Office,"Policy, Research, Legislation",Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,0,0,SA,A,A,A,SA,D,SD,A,SA,SA,N,A,A,A,A,SA,SA,Female,51-55,,,,,Yes,0
277,Age Retirement,2012,1986,1986,Teacher Aide,,Central Office,Education Queensland,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,1,1,A,SA,A,A,A,SA,SA,SA,A,A,A,A,A,A,A,A,A,Female,61 or older,,,,,,1
278,Voluntary Early Retirement (VER),2012,1992,1998,School Administrative Staff,,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,0,0,SD,SA,A,SD,D,SD,D,D,D,D,D,SD,SD,D,SD,D,SD,Female,56-60,,,,,,0
